text,label
"අඬලා ඉවරයි කියලා හිතනකොට
ආපහු ඇස් වලට කඳුළු කොහෙන් 
එනවද මන්දා... 🙂💔",0
"ලැබිලත් ,
නොලැබෙන බැඳීම්
දරාගන්න අමාරුයි...
😌",0
@zcorpion_x දුක තමා Fantasy ලෝකවල් වල දේවල් රියල් ලෝකෙට ඇප්ලයි වෙන්නේ ටික දෙනාටයි බොසා.❤️,0
"බොරුවට මොකටද දුක හිතිලා
නූපන් හෙට දින ගැන හිතලා..",0
දරැ දුක.https://t.co/mhsxF9F1i9 https://t.co/6mh26k4hX0,0
"RT @r_evarts: සමහර උන්ට දරාගන්න බෑ,,
හැබැයි ඌ උගෙ ගමන යනවා.!!! https://t.co/4wmTg7rfLW",0
"RT @r_evarts: සමහර උන්ට දරාගන්න බෑ,,
හැබැයි ඌ උගෙ ගමන යනවා.!!! https://t.co/4wmTg7rfLW",0
"RT @r_evarts: සමහර උන්ට දරාගන්න බෑ,,
හැබැයි ඌ උගෙ ගමන යනවා.!!! https://t.co/4wmTg7rfLW",0
"සමහර උන්ට දරාගන්න බෑ,,
හැබැයි ඌ උගෙ ගමන යනවා.!!! https://t.co/4wmTg7rfLW",0
@Dagaya_ @__shaaaanu මගේ දුක මමනේ දන්නේ,0
@aashinionline suicide mission එකක් නේ ඒක. තිත්තයා ඒත් පරාදයි. හැබැයි තිත්ත ප්‍රජාව දිනුම් 🥲🤣,0
"දුක හිතුනම
අම්මලා 
ලූනු පොතු අරිනව 
හැංගිලා ….",0
@anushaka_____ දරාගන්න බැරුව 😁🤣,0
"RT @sunandabandara1: @unknown_lankan ඔය චැනල් එකේ වැඩසටහන් -
1.) සතෙක් පෙට්ටියකට දාලා ඇස් වහපු නිලියක්ට ඒකව අල්ලන්න දෙනවා. නිළිය හූ කියනවා…",0
මේ වෙලාවට කෑම වල 4to දාන අය මරාගෙන මැරෙන්න පුළුවන් 🙄,0
"RT @sunandabandara1: @unknown_lankan ඔය චැනල් එකේ වැඩසටහන් -
1.) සතෙක් පෙට්ටියකට දාලා ඇස් වහපු නිලියක්ට ඒකව අල්ලන්න දෙනවා. නිළිය හූ කියනවා…",0
RT @Neetwit: @HeimlerD පෙරහැරට විතරක් සත්ව කරුණාවෙන් මැරෙන්න යන ඔය කොලබ ලිබ්බෝ නුවර එළියේ අවුරුදු පතා දහදුක් දීලා පුහුණු කරලා අශ්වයෝ රේස්…,0
RT @Neetwit: @HeimlerD පෙරහැරට විතරක් සත්ව කරුණාවෙන් මැරෙන්න යන ඔය කොලබ ලිබ්බෝ නුවර එළියේ අවුරුදු පතා දහදුක් දීලා පුහුණු කරලා අශ්වයෝ රේස්…,0
@HeimlerD පෙරහැරට විතරක් සත්ව කරුණාවෙන් මැරෙන්න යන ඔය කොලබ ලිබ්බෝ නුවර එළියේ අවුරුදු පතා දහදුක් දීලා පුහුණු කරලා අ… https://t.co/YYbvBij1cC,0
"පොලිසිය භාරයේදී මැරෙන්න දෙන්නේ නැහැ: පොලිස්පති – නීතිපති මගින් ශ්‍රේෂ්ඨාධිකරණයට සහතික වෙයි
පොලිස්පතිට උසාවියෙන් තු… https://t.co/TjV9oLPp47",0
"@unknown_lankan ඔය චැනල් එකේ වැඩසටහන් -
1.) සතෙක් පෙට්ටියකට දාලා ඇස් වහපු නිලියක්ට ඒකව අල්ලන්න දෙනවා. නිළිය හූ කියන… https://t.co/W78jTl2IrZ",0
@unknown_lankan අරුන් එකෙක්ටවත් බැරිඋනානේ හොම්බට දෙකක් අයින්න. ඒ උනාට දුක අහන අයියගේ ප්‍රෝගෑම් එකට ගියොත් පෙමිනිස්ට් වැක්කෙරෙනවා 🙂👋,0
"RT @induinduu: කොච්චර එපා කිව්වත්
අපි අපේ ජීවිතේට විශේෂ මිනිස්සු එක්ක
හීන හදාගන්නවා..
ඒවා වෙනුවෙන් මහන්සි වෙනවා...

හීනේ නැති උනාම විඳ දරාග…",0
@Dagaya_ එයාට දුක ඇති මාව දාලා ගිය එකට. අන්තිම මොහොතේ එයා මගෙන් ටිකක් ගුටි කෑවා. ඒකයි මට වාවන්නේ නැත්තේ 😒😒😒,0
"RT @induinduu: මං හිතන්නේ
අපිට දරාගැනීම 
මෙච්චර උගන්නලා තියෙන්නේ
අපේ තියෙන දුරස් බවමයි...

පොඩි දේවල් ඉවසා දරාගන්න
විහිළුවටවත් රණ්ඩු නොවී ඉ…",0
"මං හිතන්නේ
අපිට දරාගැනීම 
මෙච්චර උගන්නලා තියෙන්නේ
අපේ තියෙන දුරස් බවමයි...

පොඩි දේවල් ඉවසා දරාගන්න
විහිළුවටවත් රණ්… https://t.co/oEsKe60Kcw",0
@JayaniFdo අපි තමයි දන්නෙ අපේ දුක 😂,0
@Mseciice මමනේ දන්නේ මගේ දුක,0
"අහස ගුගුරා කඳුළු වැහි  කැට
වැටී තරු එළි නිවුන හවසක,
කෙලෙස කවියක ලියමි එළිවැට
නුඹෙ සුවඳවත් ලඟ නොමැති දවසක!",0
RT @Pink_princesss7: දුක හිතුනම ඔළුව අතගාන්න කවුරුත් නැති හැටි🥲 https://t.co/Z9giXEfv3T,0
@aashinionline @NaveeSilva ඇයි දුක,0
@JayaniFdo @DehanJ_ ඔයා දුක ගනෙපා ජෙනි පැත්තකින් තියන්න,0
@JayaniFdo @RakzzMaduOnline දැං ඉතින් කරන්න දෙයක් නැ දුක තමයි 😂,0
දුක හිතුනම ඔළුව අතගාන්න කවුරුත් නැති හැටි🥲 https://t.co/Z9giXEfv3T,0
දුෂණ වලට මට නඩු දමන්න කියන ඔයා රටක අධිකරණ අමාත්‍යාංශය නීතිපති දෙපාර්තමේන්තුව පොලිසිය අල්ලස් කොමිසම විගණන කොමිසම ට්‍… https://t.co/mAh2kQiGWu,0
@SNkathriarachch @AshanCx අක්කාගෙ reply එක දකිද්දි මට බැදලා ඉන්න අයියා ගැන දුක හිතුනා අක්කේ...😁😁,0
"අන්තරේට අදත් කඳුළු ගෑස් ප්‍රහාරයක් (VIDEO) 
READ MORE &gt;&gt;&gt; https://t.co/uQDRu8Ejpy https://t.co/KvbyW0Lyyw",0
"මතකයන් අවුස්සා
යළිත් මළවුන් අතරින් 
අවදිකර පණ දී තුරුලේම
හංගන් ඉද...
දුක දැනුනේම නැතිද
යලිත් මිහිදන් කළ විට",0
"කෝ යකෝ වලිය 🥴....

ඇයි ඇයි ඇයි කියලවත් තිබ්බානං දුක නෑ බලං හිටියට අපි මෙහෙම.. 🙄
පොලීසියෙන්වත් කුදලංවත් ගියාද දන්නෑ… https://t.co/jmz5HqDDfx",0
"හරිහැටි කතාවක් වත් නැතුව
හිටි හැටියේම සමුගන්න එපා
මොකද ඒ සමුගැනීම දරාගන්න අමාරුයි
        සමහර විට ඇතැම් මිනිස්සු අ… https://t.co/0WVCHxcHyv",0
"RT @KOTTANOFFICIAL: රටවල් දාලා දොස්තරලා යනවා. මිනිහා සංචාරක සතෙක්. හැබැයී අපි හයිවේ වෙනුවට, සෞඛ්‍ය සේවයට මුදල් යෙදුවා නම්, පරණ ගාලු පාරේ කත…",0
""" තනිකඩව මැරෙන්න, නමුත් කවදාවත් කිසිවෙකුගෙන් ආදරය කරන්නැයි ඉල්ලන්න එපා."" 💜️🌻💫 https://t.co/6BEKDAcHWR",0
ළමුන්ටත් කඳුළු ගෑස් ප්‍රහාරය වදී | පොඩි ළමයි අඬාගෙන දුවයි | මහ එවුන්ගේ වැඩවලින් බැටකාපු පොඩි එවුන්.. https://t.co/stAG9EZdea,0
"@ravinda88 වැඩියෙන්ම පාඩු ලබන ආයතන අතර ලංගමත් ඉන්නවා. ලංගමත් විකුණනව නම් නියමයි. කජු සංස්ථාව, තැපෑල කියන්නෙ පොඩි කෑ… https://t.co/5dUHVFCnnV",0
RT @iam_AStr: මල්ලි බබෙක් තියා අයියා බබෙක්වත් මට වැරදිලාවත් මැසේජ් කරල නෑ කියල මතක් වෙද්දි පුටුවක් හපන් මැරෙන්න හිතුනා ............... 😩😩😩😩,0
"""එක තැනක් එනවා ජීවිතේ...
කඳුළු මදියි දුක දියකරන්න.
බර වැඩියි තමන්ගෙම හිත...
උහුළගෙන ඉන්න.",0
"අපිට දරාගන්න බැරි තරමට ඉල්ලුමක් තිබුණා..
""ඡන්දෙ නෑ කිව්ව සැනින්..එහෙත්"" https://t.co/zxldYfLYUQ",0
@iam_poor9 දුක තමයි! 🙃🤣,0
RT @CheyNumba9: බලාපොරොත්තු ඇති කරගැනීම සියදිවි නසාගැනීම හා සමානය...,0
RT @WaruAnu: ඊයේ දරාගන්න බැරි විදිහේ කැත වැඩක් වුනේ.... 😥😥 මාව මිනිස්සු අදුරන්නෙ තනිකරම බේබදුකම දෝතින් දරාගත්තු කෙනෙක් විදිහට කියලා ඔප්පු…,0
"මනසින් විඳිමින් ඔය රූපේ
රිදුමන් ලෝකෙන් සඟවා
මතකෙන් අද මං මගෙ ලෝකේ
තනියෙන් ජීවත් වෙනවා
අලුතිත් පණ දුන් ඔබෙ ප්‍රේමේ… https://t.co/BzXBjfpVw2",0
"ජීවිතං අනියතං මරණං නියතං ~ බව.
දුක ජරාව අනියත ~ බව.
ලස්සන සැමදේ මොහොතක සුවදේ එහි කෙලවර දුක දේ ~ බව
කුනුශරීරය දුගඳ ~… https://t.co/oTp0bLFL1M",0
"කවුරුත් දන්නෙ නෑ
මහපොලොව වින්ද දුක https://t.co/paBAAFg0YF",0
"ජීවිතය රඟමඩලක්
මිනිසුන් එක්ව
සතුටින් හිනැහෙන්න
""දඟලන""

ඇරඹුමෙත්, කෙළවරෙත්
අතරමැදත් තැවරුණු දුක
නොදැක යන 
අසරණයින්ගේ… https://t.co/6cLolLW0vy",0
"අනෙ පපු එහෙම 
එකිනෙකාගෙ නම්වලට ලියන්න පුලුවන් ද ?

ඔව් සමහරුන්ට පුලුවන් ලේ වැක්කරෙද්දිත්
එකිගෙ නම තදට කොටන්න

 ""මං… https://t.co/iqs5qSxKi8",0
RT @iam_AStr: මල්ලි බබෙක් තියා අයියා බබෙක්වත් මට වැරදිලාවත් මැසේජ් කරල නෑ කියල මතක් වෙද්දි පුටුවක් හපන් මැරෙන්න හිතුනා ............... 😩😩😩😩,0
"සිහිනයෙන් ආදරය විඳින සඳ
දුක නේද නේතු පියනි ඇරුනාම
අවදි වෙන්නෙම නැතුව හැමදාම
සිහිනයක කිමිදෙන්න හිතයි මට",0
ගෙල වැලලාගත් මළසිරුරක්: රාජගිරිය බණ්ඩාරනායකපුර ඉදිකරමින් පවතින නිවසක් තුළ පුද්ගලයෙකු ගෙල වැලලාගෙන සියදිවි හානි කරග… https://t.co/F9BMVtCDFE,0
@iam_AStr පුටු හපන්නෙපා පුක හපන් මැරෙන්න,0
"RT @KOTTANOFFICIAL: රටවල් දාලා දොස්තරලා යනවා. මිනිහා සංචාරක සතෙක්. හැබැයී අපි හයිවේ වෙනුවට, සෞඛ්‍ය සේවයට මුදල් යෙදුවා නම්, පරණ ගාලු පාරේ කත…",0
"RT @adaderanasin: රාජගිරියේ සැකසහිත මළසිරුරක්

රාජගිරිය බණ්ඩාරනායකපුර ඉදිකරමින් පවතින නිවසක් තුළ පුද්ගලයෙකු ගෙල වැලලාගෙන සියදිවි හානි කරගෙන…",0
"රාජගිරියේ සැකසහිත මළසිරුරක්

රාජගිරිය බණ්ඩාරනායකපුර ඉදිකරමින් පවතින නිවසක් තුළ පුද්ගලයෙකු ගෙල වැලලාගෙන සියදිවි හානි… https://t.co/o68Lv371K1",0
"@iam_AStr කුශන් එකක් කන්න
ලී පුටුවක් කනවට වඩා ඉක්මනට මැරෙන්න පුලුවන්",0
මල්ලි බබෙක් තියා අයියා බබෙක්වත් මට වැරදිලාවත් මැසේජ් කරල නෑ කියල මතක් වෙද්දි පුටුවක් හපන් මැරෙන්න හිතුනා ............... 😩😩😩😩,0
ඊයේ දරාගන්න බැරි විදිහේ කැත වැඩක් වුනේ.... 😥😥 මාව මිනිස්සු අදුරන්නෙ තනිකරම බේබදුකම දෝතින් දරාගත්තු කෙනෙක් විදිහට කි… https://t.co/HV5mmqkBQw,0
"මෙහෙම හිතෙන එක සාධාරණයි
සියළුම වගකීම් වලින් මිදුනා කියන්නේ 
තමන් තනි වුණු බවම නෙවෙයිද?

තනි කමට කාන්සියට කථා කරන්නව… https://t.co/ZkewqzRSS5",0
@WaruAnu ඒක නම් ඇත්ත කතාව.. ඒ මනුස්සයාටත් දරාගන්න පුලුවන් ප්‍රමාණයක් තියනවා නේ.. 😂😂😂,0
"රටවල් දාලා දොස්තරලා යනවා. මිනිහා සංචාරක සතෙක්. හැබැයී අපි හයිවේ වෙනුවට, සෞඛ්‍ය සේවයට මුදල් යෙදුවා නම්, පරණ ගාලු පා… https://t.co/h2F3nEI0Za",0
"මල් මල් හැඟුමෙන් පැතුම් පිරී
සඳෙහී රන්වන් කැළුම් දිදී
ආදරෙ ලැබ ලැබ සියල් සිරී
සැරදේ පතමී දිගා සිරී

සැපසේ සුවසේ වැ… https://t.co/UQ8xdrBFqQ",0
@22Dinuk ලංකාවේ ඉන්න බලධාරියෝ (දේශපාලන අධිකාරිය ඇතුළුව) පොල් හරක්.. උන්ගේ දේවල් ගැන අවධානය යොමු කරන්න මොකක් හරි ලෙස… https://t.co/8VjIz0Dxjv,0
"RT @bakeermarkar: මේ රටේ අති බහුතරය ජනතාව වීදි බැහැල හඬනැගුවෙ තමන් මුහුණ දීලා ඉන්න දුක, වේදනාව ගැන පමණක් ම නොවේ. ඔවුන් මේ පවතින සාම්ප්‍රදා…",0
දුක් විඳපු නැති කෙනෙක් නැති වුණාට දුක දැකපු අය අති දුර්ලභයි මිත්‍රයා ......,0
"සඟරාවක නුඹ දුටිමි.

නිකලැල් හදවතට ලං වෙන්න
කෙහෙරැල් මදක් අහකට ගන්න
සුවඳට විතරක්ම තුරුලු වෙන්න
එපා ඔයහැටි දෑස තෙමවන්… https://t.co/c1m0io01QP",0
@JayaniFdo හෑයියං ජෙනියක්කෙ… දුක හිතිල ඉන්න වෙලේ හිනස්සන්නෙප හුම්ම් 😒😒,0
"හද දැවුනා කඳුලේ ගිලුණා..
.
.
.
.
.
.
.
.
.
රාජපුර පංචබල අමෘත පානය බිව්වා නම් කඳුළු එන්නෙත් නෑ 😂",0
"@aashinionline මේ පොඩි රස්නිය දරාගන්න අපිට බැරි හැටි, අරාබිකරයේ එළියෙ වැඩ කරන අපේ සහෝදර වරු කොච්චර දුක් විඳිනවා ඇතිද නේද?",0
"RT @bakeermarkar: මේ රටේ අති බහුතරය ජනතාව වීදි බැහැල හඬනැගුවෙ තමන් මුහුණ දීලා ඉන්න දුක, වේදනාව ගැන පමණක් ම නොවේ. ඔවුන් මේ පවතින සාම්ප්‍රදා…",0
"@iamgayash හොඳ අත්තක් හම්බවෙනකං දුක අහන්න, හොරි කසන්න , ගිනි පිඹින්න.",0
"වෙන අයට ලංවීම මට දරාගන්න බැරිවුණා! උස තරුණයෙක් ලැබෙනතුරු බලා සිටින ශෙහානි - Cafe R with DEARO

Watch Now:… https://t.co/ZPu8coPeBu",0
"RT @619Sniper619Bot: පාලුව අතරින් මැවෙනා මතකය...💔
පෑරෙයි මගෙ හද ප්‍රේමය සිහිකර..💔
උණුසුම් කදුලක් දෙකබුල සිම්බට..💔
කම්නෑ මේ දුක නොතෙරෙයි ඔහු…",0
"පාලුව අතරින් මැවෙනා මතකය...💔
පෑරෙයි මගෙ හද ප්‍රේමය සිහිකර..💔
උණුසුම් කදුලක් දෙකබුල සිම්බට..💔
කම්නෑ මේ දුක නොතෙරෙයි… https://t.co/HCJyJKG3XD",0
"@ManikkageYasuni මගෙත් කට හොඳ නැහැ නේ යසුනි. මැරෙන්න වෙන්නෙ තව පොඩ්ඩෙන්.
මගෙත් මොකක් හරි ඇලජි සීන් එකක් තියේ. අපේ… https://t.co/v9YKkvA398",0
"බුදුහාමුදුරුවො වැඩියා වාගෙයි
පින්බර සුවාමිනේ
දුක හිතිලද හිරගෙදරට වැඩියේ මාගේ මරණ දිනේ
මගෙ අම්මාවත් දොර‍ටුව අද්දර
හි… https://t.co/zAMBxP1HUK",0
"@KOTTANOFFICIAL මට මේ ලඟදි ටුක් ටුක් එකක බුවෙක් කියනවා, අකුණක් හරි ගහලා මැරුනොත් ගැම්මෙන් මැරෙන්න ඕනේ එකට සිගරට් එක… https://t.co/UxBKeM7M7z",0
"මෙහෙමයි ඉතින්...
මනුස්සයෙක් දෙයක් කියවලා , හොයලා බලලා දැනගන්න , 
ඒ මනුස්සයා professor කෙනෙක් වෙන්නම ඕනි කියලා මතයක්… https://t.co/JjdIaydoYg",0
"මේ රටේ අති බහුතරය ජනතාව වීදි බැහැල හඬනැගුවෙ තමන් මුහුණ දීලා ඉන්න දුක, වේදනාව ගැන පමණක් ම නොවේ. ඔවුන් මේ පවතින සාම්… https://t.co/cZfZWVXWO3",0
@shanki_thewitch දුක තමයි රංජනී 🥲,0
"කනට තෝඩු පළඳවනා
කන්පෙති කටුවෙන් විදිනා
දවසක් එන බව හැඟුණා
තාත්තාට දුක හිතුණා ❤️",0
@aashinionline එපා එක්කෝ දුක හිතෙයි ඔයාට 🌝,0
@aashinionline ආ ඇත්තෙයි අපි.නැතුව දුක හිතෙයි,0
බලාපොරොත්තු ඇති කරගැනීම සියදිවි නසාගැනීම හා සමානය...,0
@JayaniFdo දුක නැද්ද ඔයාට 🥺,0
"RT @induinduu: ඇයි බලන් ඔය දෙනෙත
තවකෙකු පිහදානකන් උඹෙ කඳුළු... 
අදවත් හිත හදන් 
නැගිටින්න තනිවම උඹෙ හෙටට... 🤍",0
"RT @singleromeoo: තනිකඩව මැරෙන්න, නමුත් කවදාවත් කිසිවෙකුගෙන් ආදරය කරන්නැයි ඉල්ලන්න එපා ..! 🌻💫 https://t.co/FNetWMTbhp",0
@Pushpitha92Diss රියල් දුක 🥲🥲,0
"හෝමාගම රෝහලේ රෝගියෙකු දෙවැනි මහලෙන් බිමට පනී

https://t.co/eyI4PIlhh0

#lka #SriLanka #Homagamahospital #suicide",0
@PichchaMala ජිවිතේ ලස්සන ද කියලා අහනවට වඩා ජිවිතේ සැප සනීප දුක ගැන අහන්න නම් කියන්න පුළුවන් 🙂,0
"දරාගැනීමේ සීමාව පැන්නම සමහර මිනිස්සු
පුරුදු වෙනව හැමදෙයක්ම හිනාවකින්
අත්හැරලා දාන්න.

තවත් සමහරු පුරුදු වෙනවා
හැම දෙයක්ම දරාගන්න...
🥺💔🌿🌎",0
"RT @tharinduij: මිලියන විසි ගණනක කඳුළු 

https://t.co/5jxK0LaJew",0
"RT @tharinduij: මිලියන විසි ගණනක කඳුළු 

https://t.co/5jxK0LaboY",0
"RT @adaderanasin: රෝහල් ගොඩනැගිල්ලෙන් රෝගියෙක් බිමට පනී

හෝමාගම මූලික රෝහලේ ගොඩනැගිල්ලකින් පැන රෝගියෙකු සියදිවි හානිකරගෙන තිබේ.

වැඩි විස්ත…",0
"RT @tharinduij: පොලිසිය හංගන්න හැදූ කඳුළු ගෑස් සාක්කි එළියට ; විශ්ව විද්‍යාල ආරක්ෂකයාගේ බිරිඳ, දුව සාක්කි දෙයි ; උසාවියේ සිටි සරසවි සිසුවිය…",0
"රෝහල් ගොඩනැගිල්ලෙන් රෝගියෙක් බිමට පනී

හෝමාගම මූලික රෝහලේ ගොඩනැගිල්ලකින් පැන රෝගියෙකු සියදිවි හානිකරගෙන තිබේ.

වැඩි… https://t.co/bOqbEZpWPj",0
"මිෂන් ""අම්මගේ උපන්දිනේ"" සක්සෙස්ෆුලි කම්ප්ලීටඩ් විත් පවුලේ අය ඇන්ඩ් ෆයිව් අදර් චූටී චූටී කඳුළු බිංදු 🥰✅

සාදරයෙන් එ… https://t.co/5gxeb9ZCrb",0
"While on the bus 

පැන සීමාවන් රස බලද්දී ආදරේ
පැන යනවාමයි මිරිඟුව ඔබටත් රහසේ
ඔබ කී ලෙසටම ආයේ
දුක නම් ළංවෙනවාමයි
මායාවක්මයි ආදරේ 
 So true 😁",0
"4/6

දැන්වත් උඹලත් ඔය කරේ තියාගෙන යන පටු බෙදීම් බිමින් තියලා, ඊටත් වඩා වැදගත්, හැමට පොදු, හැමට යහපතක් වෙන දෙයක් කරට… https://t.co/13wJQhIrPu",0
මුනිවත හොදයි දෙබසේ දුක වැඩි හින්දා https://t.co/sGFwYBzpEp,0
"සංස්ථාවට.

භූමිතෙල් සහනාධාරේ විතරක් 2018 බිලියන 7යි. කෝටී 700ක්. කෝටි 700ක් දැන් සංස්ථාවට පාඩුයි. එහෙම සහනයක් දෙන්න… https://t.co/gPB1uiZqnv",0
කඳුළු ගෑස් කාලා වසරක https://t.co/T91o1VPENF,0
"ගෙදර ආවම  අපි දකින්න ආසම කෙනා ලග නෑ කියලා දැනෙන්දි ඒ වේදනවා දරාගන්න මාරම අමරුයි... ,කාටවත් දැනෙන් නැති ඒ පාලුව දුක… https://t.co/wpDcJgqKJS",0
"ලොකු බඩගින්නක් තියෙනවා. උදේ හැමෝම කියද්දි මං කාලා ආවේ නෑ, දුක mood එකක් පෙන්නුව මිස ගෙදර අයට! 🥹",0
@HasalaNimmana @indika27 එදා අනුරාදපුරේ මිනිස්සු බොහොම දරුණු රජෙක් යටතේ බොහොම දුක සේ ඉදලා තියෙනවා කියලා නැහැ නේද?,0
RT @UNPunOfficial: අරගල කාලේ IMF යන්න කියලා මැරෙන්න හදපු අරගලකාරයෝ ටික තව පොඩ්ඩෙන් ගෝඨා පන්නලා බලය දෙන්න හිටියේ මුං වගේ එවුන්ට නේද?😆 https:…,0
@pramodVimukthi1 දුක හිතිලා වගේ 💔,0
@safaris03 ඒකටනම් දුක හිතුන 🤧🥹,0
"අපහාස වලින් ඉගෙන ගත්තා දරාගන්න විදිහ..
බැනුම් වලින් ඉගෙන ගත්තා හිනා වෙන විදිහ...
රිද්දන අයගෙන් ඉගෙන ගත්තා නිහඬව ඉන්… https://t.co/9vnK3NKLcx",0
"@chapaerandi අන්තිම කෑල්ලට දුක හිතුණා. 
නුවරඑළිය පැත්තේ කූල් climate එකට වෙලා ජොබ් එකක් කරන එක මට හීනයක්. එහෙම හිට… https://t.co/2ZhByXPaGc",0
"ඉතින් නුඹ තව දුර ගියෝතින්
මාව අමතක නොවෙන්න..
හිත හැදෙන්නට දුක නිවෙන්නට
මටත් කවියක් ලියන්න🥀..",0
අරගල කාලේ IMF යන්න කියලා මැරෙන්න හදපු අරගලකාරයෝ ටික තව පොඩ්ඩෙන් ගෝඨා පන්නලා බලය දෙන්න හිටියේ මුං වගේ එවුන්ට නේද?😆 https://t.co/n0H3JXJkw7,0
"RT @singleromeoo: තනිකඩව මැරෙන්න, නමුත් කවදාවත් කිසිවෙකුගෙන් ආදරය කරන්නැයි ඉල්ලන්න එපා ..! 🌻💫 https://t.co/FNetWMTbhp",0
"ප්‍රාථමික අංශය කියන්නෙම අනාගත පුරවැසියාගේ පදනම . ලමයට දරාගන්න බැරි , ටීචර් ට පිස්සු හැදෙන විකෘති මිනිස්සු බිහි වෙමි… https://t.co/fJlVTvPuRf",0
:-දුක  නිවුවේ  #නිකොටින් ....,0
"RT @induinduu: ඇයි බලන් ඔය දෙනෙත
තවකෙකු පිහදානකන් උඹෙ කඳුළු... 
අදවත් හිත හදන් 
නැගිටින්න තනිවම උඹෙ හෙටට... 🤍",0
"ඇයි බලන් ඔය දෙනෙත
තවකෙකු පිහදානකන් උඹෙ කඳුළු... 
අදවත් හිත හදන් 
නැගිටින්න තනිවම උඹෙ හෙටට... 🤍",0
ඇමෙරිකාවටත් කඳුළු ගෑස් හා රබර් බුලට් ප්‍රහාර https://t.co/GDls6NpwAr #LEN,0
@dulakshi_g සාමන්‍යෙන් බූට් එකක් හැපුවාම දුක හිතෙනව කියන්නෙ ප්‍රශ්නයක් . ඒක රහ නැද්ද,0
"RT @singleromeoo: ඉඩෝරෙට'
මුහුණ දීලා කේඩෑරි ගැහුන රූස්සගස් පවා
දරාගන්න බැරිම තැන්වල මහපොලවට 
කඩන් වැටෙන්න බලනවා

එහෙම වෙලාවට පුංචිම පුංචි…",0
"RT @singleromeoo: ඉඩෝරෙට'
මුහුණ දීලා කේඩෑරි ගැහුන රූස්සගස් පවා
දරාගන්න බැරිම තැන්වල මහපොලවට 
කඩන් වැටෙන්න බලනවා

එහෙම වෙලාවට පුංචිම පුංචි…",0
"ඉඩෝරෙට'
මුහුණ දීලා කේඩෑරි ගැහුන රූස්සගස් පවා
දරාගන්න බැරිම තැන්වල මහපොලවට 
කඩන් වැටෙන්න බලනවා

එහෙම වෙලාවට පුංචිම… https://t.co/JURcDq3kYt",0
@ExcuzeMiii පොන් එකක් කැඩෙන එකයි නැති වෙන එකෙයි දුක මන් දන්නවා මිතුර 😥😥,0
"RT @pramodVimukthi1: මැරෙන්න කලින් මිනිස්සු අගයන්න,සලකන්න.
මැරුනු පසු වලදමන්න😌",0
"මැරෙන්න කලින් මිනිස්සු අගයන්න,සලකන්න.
මැරුනු පසු වලදමන්න😌",0
ඔබ ඔබවම විඳ දරාගන්න!,0
"RT @induinduu: .
                මට මම ගැනම දුකයි... 
                  කාටවත්ම නොකියා,
     මෙච්ච්ර දේවල් විඳ දරාගන්න ඕනෙද...…",0
"RT @induinduu: .
                මට මම ගැනම දුකයි... 
                  කාටවත්ම නොකියා,
     මෙච්ච්ර දේවල් විඳ දරාගන්න ඕනෙද...…",0
